"number","district","region","category_name","zap","np","pp","zak","mon","dpbg","max","zap_is_max","np_is_max","pp_is_max","zak_is_max","mon_is_max","dpbg_is_max","none_is_max","max_fcat_names","category_level"
83,3,18,"генетический_резерват",0.61,0.33,0.5,0.72,0.56,0.61,0.72,0,0,0,1,0,0,0,"zak",1
84,3,18,"городской_лес",0.61,0.61,0.94,0.72,0.56,0.5,0.94,0,0,1,0,0,0,0,"pp",2
85,3,18,"городской_парк",0.5,0.61,0.83,0.78,0.5,0.44,0.83,0,0,1,0,0,0,0,"pp",2
86,3,18,"курорт",0.39,0.61,0.83,0.78,0.56,0.28,0.83,0,0,1,0,0,0,0,"pp",1
87,3,18,"мемориальное_дерево",0.44,0.56,0.67,0.61,0.83,0.61,0.83,0,0,0,0,1,0,0,"mon",2
88,3,19,"экологический_полигон",0.67,0.39,0.61,0.67,0.5,0.5,0.67,0,0,0,0,0,0,1,"none",1
89,3,19,"экологические_плантации_и_питомники",0.56,0.39,0.61,0.78,0.67,0.72,0.78,0,0,0,1,0,0,0,"zak",1
90,3,20,"охраняемый_природный_объект",0.56,0.67,0.67,0.61,0.67,0.56,0.67,0,0,0,0,0,0,1,"none",2
91,3,20,"охраняемый_природный_комплекс",0.78,0.67,0.67,0.67,0.56,0.56,0.78,1,0,0,0,0,0,0,"zap",2
93,4,21,"охраняемый_природный_комплекс",0.61,0.39,0.5,0.78,0.61,0.61,0.78,0,0,0,1,0,0,0,"zak",2
94,4,21,"охраняемый_природный_объект",0.5,0.5,0.72,0.72,0.72,0.39,0.72,0,0,1,1,1,0,0,"pp+zak+mon",2
95,4,22,"этноприродный_парк",0.61,0.67,0.5,0.67,0.39,0.39,0.67,0,0,0,0,0,0,1,"none",1
96,4,22,"лесной_генетический_резерват",0.56,0.28,0.5,0.78,0.56,0.67,0.78,0,0,0,1,0,0,0,"zak",1
97,4,22,"природное_наследие_народов_Чувашской_республики",0.5,0.56,0.5,0.5,0.56,0.39,0.56,0,0,0,0,0,0,1,"none",1
98,4,22,"памятное_природное_место",0.5,0.83,0.5,0.72,0.56,0.5,0.83,0,1,0,0,0,0,0,"np",3
99,4,23,"зелёная_зона",0.39,0.5,0.83,0.78,0.5,0.44,0.83,0,0,1,0,0,0,0,"pp",3
100,4,24,"эколого-рекреационная_зона",0.5,0.61,0.94,0.83,0.56,0.39,0.94,0,0,1,0,0,0,0,"pp",3
